Symbol,Name,Use
$\nabla$,Nabla,Gradient
$\Sigma$,Sigma,Sum
$\prod$,-,Product operator
$\mathbb{N}$,-,"Natural numbers = {1, 2, 3, …}"
$\mathbb{Z}$,-,"Integers = {…, -1, 0, 1, …}"
$\mathbb{Q}$,-,Rational numbers = {p/q ; p and q are integers}
$\mathbb{I}$,-,Irrational numbers = {non-rational numbers; $\sqrt{2}$}
$\mathbb{R}$,-,Real numbers = {All of the above sets}
$\forall$,-,For all
$\vee$,-,Logical or
$\wedge$,-,Logical and
$\mathcal{O}$,-,Big-O notation (order)
$>$,-,Greater than
$<$,-,Smaller than
$\gg$,-,Much greater than
$\ll$,-,Much smaller than
$!$,-,Factorial
$\equiv$,-,Is identical to
$\in$,-,Is an element of
$\ni$,-,Contains
$\propto$,-,Is proportionate to
$\exists$,-,There exists
$\nexists$,-,There does not exist
$\approx$,-,Approximately equal to
$\perp$,-,Perpendicular/orthogonal
$\cap$,-,Intersect
$\cup$,-,Union
$\infty$,-,Infinity
