Symbol,Name,Grand Challenges,Earth and Climate System,Mechanics and Thermodynamics,Calculus,"Surface, Water, and Atmosphere",Geodata Fundamentals,Chemistry and Thermodynamics,Linear Algebra,Atmosphere and Ocean Dynamics,Earth’s Subsurface,Signals and Time Series,Fields and Waves,Fluid Dynamics,Climate and Environmental Change,Geology for Engineering,Sensing and Spatial Analysis,Modelling and Simulation
A,,,,Cross section / Area,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,
C,,,,Specific heat,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,
E,,,,"Energy, Young’s modulus",,,,,,,,,,,,,,
F,,,,Force,,,,,,,,,,,,,,
G,,,,"Gravitational constant, Gibbs free energy",,,,,,,,,,,,,,
H,,,,Enthalpy,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,
K,,,,Kelvin,,,,,,,,,,,,,,
L,,,,Angular momentum,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,
N,,,,Normal force,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,
P,,,,Pressure,,,,,,,,,,,,,,
Q,,,,Heat,,,,,,,,,,,,,,
R,,,,Radius,,,,,,,,,,,,,,
S,,,,Entropy,,,,,,,,,,,,,,
T,,,,"Period, Temperature",,,,,,,,,,,,,,
U,,,,Internal energy,,,,,,,,,,,,,,
V,,,,Volume,,,,,,,,,,,,,,
W,,,,Work,,,,,,,,,,,,,,
X,,,,,,,,,,,,,,,,,,
Y,,,,,,,,,,,,,,,,,,
Z,,,,,,,,,,,,,,,,,,
a,,,,Acceleration,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,
c,,,,Speed of light,,,,,,,,,,,,,,
d,,,,,,,,,,,,,,,,,,
e,,,,,,,,,,,,,,,,,,
f,,,,frequency,,,,,,,,,,,,,,
g,,,,Gravitational acceleration,,,,,,,,,,,,,,
h,,,,Height,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,
j,,,,,,,,,,,,,,,,,,
k,,,,,,,,,,,,,,,,,,
l,,,,,,,,,,,,,,,,,,
m,,,,Mass,,,,,,,,,,,,,,
n,,,,,,,,,,,,,,,,,,
o,,,,,,,,,,,,,,,,,,
p,,,,"Momentum, Pressure",,,,,,,,,,,,,,
q,,,,,,,,,,,,,,,,,,
r,,,,Radius,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,
t,,,,Time,,,,,,,,,,,,,,
u,,,,,,,,,,,,,,,,,,
v,,,,Velocity,,,,,,,,,,,,,,
w,,,,,,,,,,,,,,,,,,
x,,,,Distance,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,,,,,
z,,,,,,,,,,,,,,,,,,
Γ,gamma,,,,,,,,,,,,,,,,,
Δ,delta,,,,,,,,,,,,,,,,,
Θ,theta,,,,,,,,,,,,,,,,,
Λ,lambda,,,,,,,,,,,,,,,,,
Ξ,xi,,,,,,,,,,,,,,,,,
Π,pi,,,,,,,,,,,,,,,,,
Σ,sigma,,,,,,,,,,,,,,,,,
Φ,phi,,,,,,,,,,,,,,,,,
Ψ,psi,,,,,,,,,,,,,,,,,
Ω,omega,,,,,,,,,,,,,,,,,
α,alpha,,,Angle or radian,,,,,,,,,,,,,,
β,beta,,,,,,,,,,,,,,,,,
γ,gamma,,,,,,,,,,,,,,,,,
δ,delta,,,,,,,,,,,,,,,,,
ε,epsilon,,,Strain,,,,,,,,,,,,,,
ζ,zeta,,,,,,,,,,,,,,,,,
η,eta,,,Efficiency,,,,,,,,,,,,,,
θ,theta,,,,,,,,,,,,,,,,,
ι,iota,,,,,,,,,,,,,,,,,
κ,kappa,,,,,,,,,,,,,,,,,
λ,lambda,,,,,,,,,,,,,,,,,
μ,mu,,,Reduced mass,,,,,,,,,,,,,,
ν,nu,,,Poisson’s ratio,,,,,,,,,,,,,,
ξ,xi,,,,,,,,,,,,,,,,,
ο,omicron,,,,,,,,,,,,,,,,,
π,pi,,,,,,,,,,,,,,,,,
ρ,rho,,,Density,,,,,,,,,,,,,,
ς,sigma (end variation),,,,,,,,,,,,,,,,,
σ,sigma,,,Stress,,,,,,,,,,,,,,
τ,tau,,,Shear stress,,,,,,,,,,,,,,
υ,upsilon,,,,,,,,,,,,,,,,,
φ,phi,,,Porosity,,,,,,,,,,,,,,
χ,chi,,,,,,,,,,,,,,,,,
ψ,epsilon,,,,,,,,,,,,,,,,,
ω,omega,,,Angular velocity,,,,,,,,,,,,,,
